Country,akamai_server_count,lat,long,population,annual_co2_by_country,annual_co2_emissions_per_capita,energy,share_renewables,share_using_internet
Albania,10,41.33,19.82,2873457.0,5404400.0,1.873925104,,100.00000000000004,71.8470405
Angola,10,-8.82,13.23,29816769.0,37470836.0,1.256693698,,73.00459721020222,14.33907936
Argentina,915,-32.534444444444446,-62.39444444444444,44044811.0,187415944.0,4.26556078,990.812,24.22157013100657,74.29490687
Armenia,47,40.18,44.5,2944789.0,5484847.0,1.862426825,,30.577259538583583,64.74488433
Australia,5499,-33.59047619047619,144.85714285714286,24601860.0,415097428.0,16.88417442,1630.82,16.429646493308816,86.54504885
Austria,1051,47.92,13.994,8797566.0,69628860.0,7.894428571,407.34,75.71541903198417,87.93558659
Azerbaijan,32,40.37,49.89,9854033.0,36497944.0,3.707256882,166.13,8.527369458951908,79.0
Bahrain,35,26.24,50.58,1494077.0,32771356.0,21.93531191,,0.0336599255842727,95.87813575
Bangladesh,81,23.72,90.41,159685421.0,80323841.0,0.503014341,386.818,1.8975134099568525,
Barbados,5,13.15,-59.6,286229.0,1170877.0,4.093975524,,2.9305447204340136,81.76077839
Belarus,33,53.9,27.57,9498264.0,60742935.0,6.42782381,273.037,2.407097428345758,74.43644541
Belgium,493,50.864999999999995,4.38,11375158.0,99456275.0,8.708955779,738.18,18.636416523968084,87.67968082
Belize,6,17.25,-88.77,375775.0,615552.0,1.637106383,,96.045809299268,47.0826258
Bhutan,4,27.48,89.6,745563.0,1256826.0,1.684753351,,99.99647147935973,
Bolivia,50,-17.226666666666667,-65.82333333333334,11192853.0,21810561.0,1.948589386,,26.38991231703648,43.83227607
Botswana,8,-24.67,25.92,2205076.0,7058898.0,3.201314286,,0.175821084464449,41.41379464
Brazil,4342,-20.58090625,-47.061677083333336,207833825.0,484588129.0,2.331611425,3351.031,80.09840793042375,67.47128452
Bulgaria,126,42.68,23.32,7075947.0,47505164.0,6.688983948,215.089,13.650801651985969,63.41010138
Burundi,4,-3.38,29.36,10827010.0,549183.0,0.050723469,,71.68458781362007,2.660748535
Cambodia,16,11.55,104.92,16009413.0,11185974.0,0.698730339,,41.1277575526655,32.90027854
Cameroon,4,3.87,11.52,24566070.0,7530489.0,0.306541114,,64.70879707272451,23.20297197
Canada,2673,47.663870967741936,-87.31032258064516,36545295.0,572834389.0,15.59496866,3919.304,67.7433310489575,92.70137191
Chile,662,-34.34285714285714,-71.26142857142857,18470435.0,84062128.0,4.551279264,438.836,45.08562254727077,82.32748693
China,796,31.63875,114.97166666666668,1386395000.0,9750725978.0,6.861770126,36342.177,26.27196179074852,54.3
Colombia,731,6.812,-75.17,48909844.0,91669828.0,1.874255326,510.889,80.15342311980082,62.25988032
Costa Rica,92,9.891666666666666,-83.85533333333333,4949955.0,8235193.000000001,1.663675354,,99.6899841159199,71.58166462
Croatia,18,45.8,16.0,4124531.0,18737689.0,4.479485776,93.357,60.38851924774298,67.09619204
Cyprus,26,35.17,33.37,1179685.0,7515688.0,6.369227119,32.498,8.69662784389228,80.74318897
Denmark,1080,55.9125,11.028333333333334,5764980.0,34722160.0,6.057599442,196.95,70.26995987722866,97.09936216
Djibouti,8,11.6,43.15,944100.0,379818.0,0.402349576,,0.9009009009009008,55.68140925
Dominican Republic,75,18.96,-70.30000000000001,10513111.0,24255049.0,2.307148197,,15.82669546800137,67.57124533
Ecuador,224,-1.7566666666666666,-79.12666666666667,16785356.0,39237605.0,2.337658922,190.966,74.68070316858113,
El Salvador,18,13.7,-89.2,6388124.0,6015567.0,0.941698028,,73.84593657885583,33.8207289
Estonia,16,59.43,24.73,1317384.0,18635872.0,14.12878848,77.857,13.94382903430483,88.10245687
Fiji,14,-18.13,178.42,877460.0,2037087.0,2.322790194,,53.61358776855481,49.96637301
Finland,441,62.08428571428572,25.138571428571428,5508214.0,44673063.0,8.106162765,317.213,46.89361126372329,87.46892907
France,5620,47.86555555555555,3.3544444444444443,66918020.0,345921253.0,5.334750906,2694.478,16.65534254228961,80.50245972
French Polynesia,3,-17.55,-149.6,276108.0,747456.0,2.708173913,,36.1254190172513,72.70389531
Georgia,41,41.72,44.78,3728004.0,9831913.0,2.452460215,,81.43285018513899,59.7055046
Germany,12450,51.23571428571429,9.537619047619048,82657002.0,786654551.0,9.51698022,3828.887,33.41565056335855,84.3941537
Ghana,14,5.55,-0.22,29121464.0,13816963.0,0.474467326,,51.49301037355299,37.88415262
Greece,271,39.305,23.33,10754679.0,74852846.0,7.082301637,324.221,25.006942528044195,69.89297065
Greenland,6,64.167,-51.75,56172.0,512960.0,9.16,,82.11093529487235,69.48246178
Grenada,3,12.05,-61.75,110874.0,278464.0,2.508684685,,1.5621656323560882,59.07173536
Guatemala,12,14.63,-90.52,16087418.0,17214317.0,1.017695359,,71.17923650091308,40.70304908
Guinea,6,9.51,-13.71,12067516.0,2879904.0,0.238639708,,49.7388720612266,11.40002077
Haiti,9,18.54,-72.33,10982367.0,3271971.0,0.297939446,,12.685050798258343,12.32610358
Honduras,15,14.8,-87.625,9429016.0,9899065.0,1.049853113,,61.74344524762398,32.13636364
Hungary,88,47.5,19.08,9787966.0,49684847.0,5.106356321,271.297,10.614882785111153,76.75054712
Iceland,22,64.15,-21.95,343400.0,3614873.0,10.82297305,61.7,99.99002434484352,98.25520119
India,10837,21.282159999999998,78.17272,1338676779.0,2456847641.0,1.835280397,8704.049,17.41077459358797,32.0
Indonesia,1667,-4.306411764705882,108.13023529411764,264650969.0,531011978.0,2.006461196,2103.435,13.290761789304335,32.33580625
Iraq,86,33.875,45.4125,37552789.0,208713070.0,5.557826805,531.241,2.687166798924278,49.35999889
Ireland,456,52.85333333333333,-7.0,4807388.0,38910193.0,8.18644919,180.829,28.951873095551623,84.11400706
Israel,417,32.11714285714286,34.925714285714285,8713300.0,62467255.0,7.577299248,301.363,2.721865517507255,81.58118359
Italy,3861,43.394444444444446,10.368888888888888,60536709.0,351473933.0,5.792826136,1803.876,35.41602158535226,63.077347
Jamaica,8,18.0,-76.8,2920848.0,7797546.0,2.669478261,,12.304040067744596,55.07206705
Japan,10900,34.95216216216216,136.10756756756754,126785797.0,1187661454.0,9.314772625,5247.426,20.98846894422833,91.72654724
Jordan,95,31.95,35.93,9785840.0,25467232.0,2.602414878,,7.142871741000902,66.79031443
Kazakhstan,76,46.754999999999995,68.80125,18037776.0,307926537.0,17.03133501,793.646,11.885745200361905,76.42674823
Kenya,64,-2.665,38.245000000000005,50221146.0,16532539.0,0.329195735,,77.43677181017334,17.82710021
Kuwait,176,29.37,47.98,4056102.0,104784007.0,25.83432125,438.194,0.0979164547579213,97.99998933
Latvia,92,56.95,24.1,1942248.0,7222784.0,3.702093285,47.581,72.52108531601053,80.114077
Lebanon,30,33.87,35.51,6819373.0,27935346.0,4.096692477,,2.291460113279258,78.18077489
Lesotho,3,-29.32,27.48,2091532.0,2528160.0,1.208489484,,100.0,29.78780333
Lithuania,44,54.800000000000004,25.006666666666664,2828403.0,13545847.0,4.761281898,68.047,75.57667814449329,77.61525651
Luxembourg,15,49.60333333333333,6.09,596336.0,9250402.0,15.62567905,44.144,66.79713358469913,97.36296032
Madagascar,9,-18.92,47.52,25570511.0,3886259.0,0.151979156,,37.46278889349956,
Malawi,3,-15.8,35.05,17670193.0,1402061.0,0.079346972,,91.75840630577753,13.78216439
Malaysia,861,3.54,102.96199999999999,31104655.0,248869500.0,8.000948401,1186.87,17.684409174377954,80.14047901
Maldives,11,4.17,73.5,496398.0,1498576.0,3.021322581,,0.4135649296939626,63.18566588
Malta,20,35.89666666666667,14.49,467999.0,1552998.0,3.545657534,,10.414682653799408,81.01191108
Mauritius,12,-20.17,57.5,1264613.0,4536032.0,3.588632911,,20.975159754627665,55.4032403
Mexico,1981,23.46291666666667,-102.335,124777326.0,461238024.0,3.696498746,2193.152,16.56587017114209,63.85224909
Moldova,5,47.01,28.86,2755158.0,5291556.0,1.303338916,,6.704931754898444,76.12451989
Mongolia,58,47.92,106.92,3113788.0,34154184.0,10.96794605,,7.314286718633285,23.71426517
Morocco,76,33.81,-7.225,35581257.0,63830812.0,1.793957786,232.223,15.506537845729609,61.76221201
Mozambique,22,-25.97,32.59,28649007.0,8147330.999999999,0.284384481,,83.5414898829941,20.7740003
Namibia,11,-22.57,17.08,2402623.0,4098197.0,1.70545027,,96.28511891930732,36.83740647
Nepal,40,27.695,85.32499999999999,27632682.0,10123518.0,0.366356096,,100.0,21.40351043
Netherlands,3488,52.325,4.835,17131296.0,164444774.0,9.661287468,980.789,14.885552455768275,93.19727891
New Caledonia,4,-22.27,166.45,270000.0,5344754.0,19.29514079,,13.38722865507878,82.0058408
New Zealand,1903,-38.95444444444444,175.0711111111111,4813600.0,36153332.0,7.688926414,251.719,81.857268253361,90.81109307
Nicaragua,12,11.79,-86.05,6384843.0,5374746.0,0.841776977,,57.457066394267805,27.86304001
Nigeria,23,7.85,5.165,190873247.0,130275457.0,0.682524309,,23.55747431191737,7.469439317
Norway,639,62.49363636363636,10.30909090909091,5276968.0,43562541.0,8.225555325,533.846,98.25735838876317,96.3576013
Oman,86,23.61,58.59,4665926.0,65510807.0,14.04003579,373.019,0.0117777167953774,80.18563573
Pakistan,317,31.054000000000002,72.392,207906210.0,232424792.0,1.117932104,936.211,26.8830098625051,17.10514586
Panama,35,8.97,-79.53,4106764.0,11961537.0,2.91247553,,72.82381067106508,59.9506309
Paraguay,23,-25.27,-57.67,6867058.0,8014918.0,1.167164409,,99.9968546477515,61.07575622
Peru,289,-12.152,-76.338,31444299.0,52488614.0,1.669272802,302.082,59.86442468527159,50.45041218
Philippines,612,13.842500000000001,121.51833333333333,105172921.0,134518537.0,1.279021583,528.525,25.657167707345625,60.05476033
Poland,834,51.32899999999999,18.936,37974826.0,337340422.0,8.88837304,1198.68,14.195394757171858,75.98536595
Portugal,366,39.8425,-8.8875,10300300.0,54719976.0,5.318298766,298.367,39.12371927446388,73.79121395
Qatar,130,25.29,51.53,2724727.0,105569150.0,38.74097248,534.027,0.287260021314673,97.38884917
Romania,338,45.7225,23.71,19588715.0,78077490.0,3.972600488,384.242,37.97787395578653,63.74728218
Rwanda,4,-1.96,30.04,11980960.0,1050544.0,0.087684167,,55.909694555112885,21.76763262
Saudi Arabia,552,24.19666666666667,45.36666666666667,33101183.0,579416606.0,17.50450458,3057.257,0.0449368109138297,94.17559961
Senegal,10,14.67,-17.43,15419354.0,9364330.0,0.607324081,,11.902845593890287,29.64312367
Serbia,75,43.74,20.82,7020858.0,45482678.0,5.150926161,,26.496897608108554,70.33083553
Seychelles,6,-4.62,55.45,95843.0,586240.0,6.106666667,,0.702576112412178,58.76981124
Singapore,2062,1.312,103.86600000000001,5612253.0,39065568.0,6.844002803,996.808,3.3011018263259797,84.45226789
Slovenia,22,46.06,14.51,2066388.0,14264753.0,6.871268304,79.642,27.683717381724797,78.88542636
South Africa,479,-28.733333333333334,26.046666666666667,57009751.0,466103224.0,8.17581519,1458.849,4.235572268093937,56.16739447
Spain,2561,41.11888888888889,-3.768888888888889,46593236.0,274671262.0,5.888294253,1594.175,32.21992986107803,84.6022457
Sri Lanka,50,6.93,79.85,21444000.0,22984426.0,1.087865676,90.809,30.94519425346248,34.1133479
Suriname,4,5.83,-55.17,570501.0,2520273.0,4.413788091,,49.716561662838245,48.94517397
Sweden,2759,58.98407692307693,16.99823076923077,10057698.0,42306816.0,4.271258556,613.91,57.882782767544526,93.00626697
Switzerland,772,46.92,7.882000000000001,8451840.0,38182265.0,4.515405038,308.694,65.57321460663871,89.68614767
Thailand,1468,13.351999999999999,100.559,69209817.0,286336041.0,4.137206199,1514.102,14.939828201951874,52.89192934
Togo,4,6.13,1.22,7698476.0,3049176.0,0.396099766,,15.802309301940475,12.36022497
Trinidad and Tobago,25,10.64,-61.445,1384060.0,39967817.0,28.87848049,209.285,0.0535539470330042,77.32605293
Tunisia,21,36.8,10.14,11433438.0,29620031.0,2.590748797,,3.124426232244496,55.50015506
Turkey,1014,39.47714285714286,31.787142857142857,81116451.0,425329230.0,5.243468983,1770.183,30.54583040283504,64.68461768
Uganda,12,0.32,32.58,41166588.0,5226431.0,0.12695681,,93.88901890976317,23.70653091
Ukraine,319,49.1825,30.375,44831135.0,223232151.0,5.017805948,960.099,7.405899294047358,58.88947945
United Arab Emirates,487,25.0225,55.3175,9487206.0,186623289.0,19.6714756,1309.913,0.5856364944004931,94.81992254
United Kingdom,13252,52.48155555555556,-1.2708888888888887,66058859.0,388088374.0,5.816062074,2219.816,29.120391702721804,90.42455049
United States,58830,38.319927169811315,-92.82482037735848,325122128.0,5253606130.0,16.16071569,25647.389,17.349948563009747,87.27488917
Uruguay,80,-34.88,-56.18,3436645.0,6173543.0,1.796201047,,98.50442057336386,70.3223544
Zambia,5,-15.42,28.28,16853608.0,6519623.0,0.386829417,,86.94958291390189,27.8525791
