Service	Total	City	State	Country	Continent	1	0
W_S	4	Lome	N/A	Togo	Africa	6.13	1.22
W_S	5	Willemstad	N/A	Curacao	Central America and Carribean	12.122	-68.882
W_S	3	Nellore	N/A	India	Asia	14.43	79.97
W_S	51	Surat	N/A	India	Asia	20.97	72.9
W_S	49	Dammam	N/A	Saudi Arabia	Asia	26.43	50.11
W_S	16	Stockton	CA	United States	North America	37.974	-121.319
W_S	27	Randburg	N/A	South Africa	Africa	-26.1	27.98
W_S	4	Saga	41	Japan	Asia	33.25	130.3
W_S	7	Sanford	NC	United States	North America	35.477	-79.172
W_S	8	Fargo	ND	United States	North America	46.877	-96.789
W_S	33	Voronezh	N/A	Russian Federation	Europe	51.67	39.17
H_N/A	98	Osaka	27	Japan	Asia	34.67	135.5
W_S	2720	Osaka	27	Japan	Asia	34.67	135.5
W_S	164	Bedok	N/A	Singapore	Asia	1.33	103.94
W_S	163	Bristol	EN	United Kingdom	Europe	51.45	-2.58
W_S	6	Belmopan	N/A	Belize	Central America and Carribean	17.25	-88.77
W_S	54	Florianopolis	SC	Brazil	South America	-27.58	-48.57
W_S	6	Ayerrajah	N/A	Singapore	Asia	1.3	103.78
W_S	6601	Tokyo	13	Japan	Asia	35.69	139.75
H_N/A	224	Tokyo	13	Japan	Asia	35.69	139.75
W_S	26	Vitoria	ES	Brazil	South America	-20.32	-40.35
H_N/A	20	Newyork	NY	United States	North America	40.741	-74
W_S	5535	Newyork	NY	United States	North America	40.741	-74
W_S	10	Tacarigua	N/A	Trinidad and Tobago	Central America and Carribean	10.63	-61.37
W_S	180	Melrosepark	IL	United States	North America	41.918	-87.898
H_N/A	53	Atlanta	GA	United States	North America	33.779	-84.336
W_S	1844	Atlanta	GA	United States	North America	33.779	-84.336
W_S	10	Hagatna	N/A	Guam	Oceania	13.474	144.748
W_S	8	Steinkjer	N/A	Norway	Europe	64.02	11.5
W_S	3	Yellowknife	NT	Canada	North America	62.45	-114.35
W_S	4	Kajaani	N/A	Finland	Europe	64.23	27.68
W_S	394	Montreal	QC	Canada	North America	45.5	-73.58
W_S	138	Isando	N/A	South Africa	Africa	-26.15	28.2
W_S	4	Ellijay	GA	United States	North America	34.669	-84.446
W_S	5	Maceio	RJ	Brazil	South America	-22.91	-43.06
W_S	12	Sullivan	MO	United States	North America	38.264	-91.135
W_S	75	Wokingham	EN	United Kingdom	Europe	51.42	-0.83
H_N/A	94	Kowloon	N/A	Hong Kong	Asia	22.32	114.18
W_S	798	Kowloon	N/A	Hong Kong	Asia	22.32	114.18
W_S	12	Morelia	N/A	Mexico	North America	19.7	-101.12
W_S	6	Pontianak	N/A	Indonesia	Asia	-0.03	109.33
W_S	24	Lelamentin	N/A	Martinique	Central America and Carribean	14.6	-61
W_S	71	Nonthaburi	N/A	Thailand	Asia	13.83	100.48
W_S	64	Reynosa	N/A	Mexico	North America	26.08	-98.28
W_S	4	Mcminnville	TN	United States	North America	35.662	-85.773
W_S	6	Maceio	AL	Brazil	South America	-9.67	-35.72
W_S	16	Palmerton	PA	United States	North America	40.831	-75.568
W_S	12	Sacramento	CA	United States	North America	38.585	-121.488
W_S	10	Macau	N/A	Macau	Asia	22.2	113.55
W_S	19	Goteborg	N/A	Sweden	Europe	57.72	11.97
W_S	16	Cheyenne	WY	United States	North America	41.08	-104.883
W_S	5	Odesa	N/A	Ukraine	Europe	46.47	30.73
W_S	32	Arica	N/A	Chile	South America	-18.48	-70.33
W_S	3	Lajeado	RS	Brazil	South America	-29.45	-51.97
W_S	5	Lusaka	N/A	Zambia	Africa	-15.42	28.28
W_S	132	Brecksville	OH	United States	North America	41.305	-81.618
W_S	6	Monthey	N/A	Switzerland	Europe	46.25	6.95
W_S	3	Icara	SC	Brazil	South America	-28.7	-49.3
W_S	170	Kwaichung	N/A	Hong Kong	Asia	22.35	114.13
W_S	5	Baltimore	MD	United States	North America	39.294	-76.623
W_S	24	Harrison	NJ	United States	North America	40.744	-74.152
W_S	6	Bemidji	MN	United States	North America	47.527	-94.761
W_S	26	Hatyai	N/A	Thailand	Asia	7.02	100.47
W_S	20	Americana	SP	Brazil	South America	-22.74	-47.33
H_N/A	138	Losangeles	CA	United States	North America	34.053	-118.265
W_S	2451	Losangeles	CA	United States	North America	34.053	-118.265
W_S	33	Jerusalem	N/A	Israel	Asia	31.77	35.23
W_S	1120	Manchester	EN	United Kingdom	Europe	53.5	-2.22
W_S	175	Saintpetersburg	N/A	Russian Federation	Europe	59.89	30.26
W_S	70	Chandigarh	N/A	India	Asia	30.75	76.8
W_S	104	Lausanne	N/A	Switzerland	Europe	46.53	6.67
W_S	12	Niigata	15	Japan	Asia	37.92	139.05
H_N/A	30	Elsegundo	CA	United States	North America	33.918	-118.404
W_S	710	Elsegundo	CA	United States	North America	33.918	-118.404
W_S	13	Aarnes	N/A	Norway	Europe	60.15	11.47
W_S	764	Manassas	VA	United States	North America	38.788	-77.533
H_N/A	42	Manassas	VA	United States	North America	38.788	-77.533
W_S	6	Suratthani	N/A	Thailand	Asia	9.13	99.32
W_S	10	Petalingjaya	N/A	Malaysia	Asia	3.08	101.65
W_S	3	Conselheirolafaiete	MG	Brazil	South America	-20.67	-43.8
W_S	264	Burbank	CA	United States	North America	34.205	-118.334
H_N/A	10	Burbank	CA	United States	North America	34.205	-118.334
W_S	10	Coventry	EN	United Kingdom	Europe	52.42	-1.55
W_S	12	Erbil	N/A	Iraq	Asia	36.1	44
H_N/A	10	Riodejaneiro	RJ	Brazil	South America	-22.9	-43.23
W_S	701	Riodejaneiro	RJ	Brazil	South America	-22.9	-43.23
W_S	3	Tamuning	N/A	Guam	Oceania	13.484	144.777
W_S	5	Saarbrucken	SL	Germany	Europe	49.23	7
W_S	71	Fuzhou	N/A	China	Asia	26.08	119.3
W_S	4	Conway	AR	United States	North America	35.082	-92.366
W_S	97	Uberlandia	MG	Brazil	South America	-18.92	-48.3
W_S	3	Resende	RJ	Brazil	South America	-22.47	-44.45
W_S	8	Campogrande	MS	Brazil	South America	-20.45	-54.62
W_S	35	Visakhapatnam	N/A	India	Asia	17.7	83.3
W_S	6	Khonkaen	N/A	Thailand	Asia	16.43	102.83
W_S	74	Northampton	EN	United Kingdom	Europe	52.25	-0.88
W_S	3	Saintgeorges	N/A	Grenada	Central America and Carribean	12.05	-61.75
W_S	28	Umea	N/A	Sweden	Europe	63.83	20.25
W_S	22	Reykjavik	N/A	Iceland	Europe	64.15	-21.95
W_S	24	Akron	OH	United States	North America	41.085	-81.51
W_S	7	Sanfrancisco	CA	United States	North America	37.773	-122.411
W_S	168	Katy	TX	United States	North America	29.839	-95.738
W_S	5	Rapidcity	SD	United States	North America	44.07	-103.324
W_S	118	Minneapolis	MN	United States	North America	44.976	-93.217
W_S	85	Madisonheights	MI	United States	North America	42.508	-83.103
W_S	38	Lahti	N/A	Finland	Europe	60.97	25.67
W_S	86	Masqat	N/A	Oman	Asia	23.61	58.59
W_S	4	Corrimal	NSW	Australia	Oceania	-34.37	150.9
W_S	9	Tegucigalpa	N/A	Honduras	Central America and Carribean	14.1	-87.22
W_S	4	Soka	11	Japan	Asia	35.82	139.81
W_S	4	Maumee	OH	United States	North America	41.574	-83.686
W_S	74	Sanjose	N/A	Costa Rica	Central America and Carribean	9.93	-84.08
W_S	3	Saosebastiaodoparaiso	MG	Brazil	South America	-20.917	-46.991
W_S	1263	Taipei	N/A	Taiwan, Province of China	Asia	25.02	121.45
W_S	17	Boise	ID	United States	North America	43.629	-116.288
W_S	1	Petrolina	PE	Brazil	South America	-9.39	-40.5
W_S	180	Fatih	N/A	Turkey	Asia	41.02	28.94
W_S	174	Hialeah	FL	United States	North America	25.832	-80.279
W_S	6	Tochigi	09	Japan	Asia	36.38	139.73
W_S	6	Nicaragua	N/A	Nicaragua	Central America and Carribean	11.43	-85.83
W_S	24	Ikoma	29	Japan	Asia	34.68	135.7
W_S	4	Bujumbura	N/A	Burundi	Africa	-3.38	29.36
W_S	3	Saipan	N/A	Northern Mariana Islands	Oceania	15.183	145.75
W_S	3	Jakobstad	N/A	Finland	Europe	63.67	22.7
