Entity,Code,Year,Renewables (% sub energy)
Africa,,1965,5.537
Africa,,1966,5.873
Africa,,1967,6.08
Africa,,1968,6.743
Africa,,1969,7.683
Africa,,1970,8.807
Africa,,1971,7.677
Africa,,1972,8.241
Africa,,1973,8.05
Africa,,1974,8.735
Africa,,1975,8.724
Africa,,1976,8.829
Africa,,1977,9.222
Africa,,1978,8.955
Africa,,1979,8.741
Africa,,1980,7.937
Africa,,1981,7.406
Africa,,1982,6.941
Africa,,1983,6.094
Africa,,1984,5.804
Africa,,1985,6.211
Africa,,1986,6.32
Africa,,1987,5.884
Africa,,1988,5.984
Africa,,1989,6.26
Africa,,1990,6.181
Africa,,1991,6.551
Africa,,1992,6.153
Africa,,1993,6.017
Africa,,1994,5.928
Africa,,1995,5.929
Africa,,1996,6.039
Africa,,1997,6.08
Africa,,1998,6.274
Africa,,1999,6.448
Africa,,2000,6.761
Africa,,2001,6.957
Africa,,2002,7.188
Africa,,2003,6.673
Africa,,2004,6.556
Africa,,2005,6.591
Africa,,2006,6.714
Africa,,2007,6.619
Africa,,2008,6.325
Africa,,2009,6.371
Africa,,2010,6.643
Africa,,2011,6.789
Africa,,2012,6.586
Africa,,2013,6.804
Africa,,2014,7.075
Africa,,2015,7.1
Africa,,2016,6.869
Africa,,2017,7.236
Africa,,2018,7.516
Africa,,2019,7.994
Algeria,DZA,1965,4.487
Algeria,DZA,1966,3.313
Algeria,DZA,1967,4.042
Algeria,DZA,1968,5.171
Algeria,DZA,1969,2.996
Algeria,DZA,1970,4.395
Algeria,DZA,1971,2.311
Algeria,DZA,1972,3.086
Algeria,DZA,1973,3.933
Algeria,DZA,1974,2.347
Algeria,DZA,1975,1.296
Algeria,DZA,1976,1.317
Algeria,DZA,1977,0.829
Algeria,DZA,1978,0.613
Algeria,DZA,1979,0.544
Algeria,DZA,1980,0.403
Algeria,DZA,1981,0.473
Algeria,DZA,1982,0.536
Algeria,DZA,1983,0.241
Algeria,DZA,1984,0.483
Algeria,DZA,1985,0.684
Algeria,DZA,1986,0.25
Algeria,DZA,1987,0.486
Algeria,DZA,1988,0.166
Algeria,DZA,1989,0.211
Algeria,DZA,1990,0.119
Algeria,DZA,1991,0.261
Algeria,DZA,1992,0.173
Algeria,DZA,1993,0.329
Algeria,DZA,1994,0.153
Algeria,DZA,1995,0.171
Algeria,DZA,1996,0.121
Algeria,DZA,1997,0.07
Algeria,DZA,1998,0.194
Algeria,DZA,1999,0.181
Algeria,DZA,2000,0.05
Algeria,DZA,2001,0.061
Algeria,DZA,2002,0.049
Algeria,DZA,2003,0.214
Algeria,DZA,2004,0.194
Algeria,DZA,2005,0.408
Algeria,DZA,2006,0.153
Algeria,DZA,2007,0.15
Algeria,DZA,2008,0.176
Algeria,DZA,2009,0.2
Algeria,DZA,2010,0.109
Algeria,DZA,2011,0.221
Algeria,DZA,2012,0.211
Algeria,DZA,2013,0.061
Algeria,DZA,2014,0.11
Algeria,DZA,2015,0.091
Algeria,DZA,2016,0.137
Algeria,DZA,2017,0.232
Algeria,DZA,2018,0.27
Algeria,DZA,2019,0.273
Argentina,ARG,1965,1.086
Argentina,ARG,1966,1.065
Argentina,ARG,1967,1.059
Argentina,ARG,1968,1.207
Argentina,ARG,1969,1.047
Argentina,ARG,1970,1.321
Argentina,ARG,1971,1.237
Argentina,ARG,1972,1.196
Argentina,ARG,1973,2.225
Argentina,ARG,1974,3.557
Argentina,ARG,1975,3.777
Argentina,ARG,1976,3.45
Argentina,ARG,1977,3.796
Argentina,ARG,1978,4.991
Argentina,ARG,1979,6.477
Argentina,ARG,1980,9.19
Argentina,ARG,1981,9.238
Argentina,ARG,1982,10.812
Argentina,ARG,1983,10.857
Argentina,ARG,1984,11.709
Argentina,ARG,1985,12.463
Argentina,ARG,1986,11.491
Argentina,ARG,1987,11.428
Argentina,ARG,1988,7.786
Argentina,ARG,1989,7.008
Argentina,ARG,1990,9.733
Argentina,ARG,1991,8.733
Argentina,ARG,1992,9.89
Argentina,ARG,1993,11.404
Argentina,ARG,1994,13.293
Argentina,ARG,1995,12.995
Argentina,ARG,1996,11.17
Argentina,ARG,1997,14.3
Argentina,ARG,1998,13.559
Argentina,ARG,1999,11.463
Argentina,ARG,2000,14.066
Argentina,ARG,2001,17.31
Argentina,ARG,2002,17.992
Argentina,ARG,2003,15.791
Argentina,ARG,2004,13.488
